support,itemsets,itemset_len
0.0012091898428053204,"frozenset({'CH:UCoMdktPbSTixAyNGwb-UYkQ', 'CH:UC16niRr50-MSBwiO3YDb3RA', 'CH:UC5T7D-Dh1eDGtsAFCuwv_Sw'})",3
0.0012091898428053204,"frozenset({'CH:UCBi2mrWuNuyYy4gbM6fU18Q', 'CH:UCIRYBXDze5krPDzAEOxFGVA', 'CH:UC16niRr50-MSBwiO3YDb3RA'})",3
0.0012091898428053204,"frozenset({'CH:UCBi2mrWuNuyYy4gbM6fU18Q', 'CH:UC16niRr50-MSBwiO3YDb3RA', 'CH:UCPgLNge0xqQHWM5B5EFH9Cg'})",3
0.0012091898428053204,"frozenset({'CH:UCBi2mrWuNuyYy4gbM6fU18Q', 'CH:UCoMdktPbSTixAyNGwb-UYkQ', 'CH:UC16niRr50-MSBwiO3YDb3RA'})",3
0.0012091898428053204,"frozenset({'CH:UCBi2mrWuNuyYy4gbM6fU18Q', 'DOM:www.youtube.com', 'CH:UC16niRr50-MSBwiO3YDb3RA'})",3
0.0012091898428053204,"frozenset({'CH:UCupvZG-5ko_eiXAupbDfxWw', 'CH:UC16niRr50-MSBwiO3YDb3RA', 'CH:UCCj956IF62FbT7Gouszaj9w'})",3
0.0012091898428053204,"frozenset({'CH:UCIRYBXDze5krPDzAEOxFGVA', 'CH:UC16niRr50-MSBwiO3YDb3RA', 'CH:UCPgLNge0xqQHWM5B5EFH9Cg'})",3
0.0012091898428053204,"frozenset({'CH:UCIRYBXDze5krPDzAEOxFGVA', 'CH:UC16niRr50-MSBwiO3YDb3RA', 'CH:UC__2_0RJ8XnHt2angfw6S1Q'})",3
0.0012091898428053204,"frozenset({'CH:UCeY0bbntWzzVIaj2z3QigXg', 'CH:UCIRYBXDze5krPDzAEOxFGVA', 'CH:UC16niRr50-MSBwiO3YDb3RA'})",3
0.0012091898428053204,"frozenset({'CH:UCupvZG-5ko_eiXAupbDfxWw', 'CH:UC16niRr50-MSBwiO3YDb3RA', 'CH:UCIRYBXDze5krPDzAEOxFGVA'})",3
0.0012091898428053204,"frozenset({'CH:UCIjSUWHWp6KohfnR5OQTXnQ', 'CH:UC16niRr50-MSBwiO3YDb3RA', 'CH:UCPgLNge0xqQHWM5B5EFH9Cg'})",3
0.0012091898428053204,"frozenset({'CH:UCoMdktPbSTixAyNGwb-UYkQ', 'CH:UCIjSUWHWp6KohfnR5OQTXnQ', 'CH:UC16niRr50-MSBwiO3YDb3RA'})",3
0.0012091898428053204,"frozenset({'CH:UCIjSUWHWp6KohfnR5OQTXnQ', 'CH:UC16niRr50-MSBwiO3YDb3RA', 'CH:UCxMXl9L79X1Mq_4iwCOyPFg'})",3
0.0012091898428053204,"frozenset({'CH:UCJy232tY_LUd1NuBgsSNUEA', 'CH:UC16niRr50-MSBwiO3YDb3RA', 'CH:UCSQ3jNVu8Zr_toI7NWzDwHw'})",3
0.0012091898428053204,"frozenset({'CH:UCJy232tY_LUd1NuBgsSNUEA', 'CH:UC16niRr50-MSBwiO3YDb3RA', 'CH:UCmYesELO6axBrCuSpf7S9DQ'})",3
0.0012091898428053204,"frozenset({'CH:UCO0akufu9MOzyz3nvGIXAAw', 'CH:UC16niRr50-MSBwiO3YDb3RA', 'CH:UCPgLNge0xqQHWM5B5EFH9Cg'})",3
0.0012091898428053204,"frozenset({'CH:UCO0akufu9MOzyz3nvGIXAAw', 'CH:UCupvZG-5ko_eiXAupbDfxWw', 'CH:UC16niRr50-MSBwiO3YDb3RA'})",3
0.0012091898428053204,"frozenset({'CH:UCoMdktPbSTixAyNGwb-UYkQ', 'CH:UC16niRr50-MSBwiO3YDb3RA', 'CH:UCPgLNge0xqQHWM5B5EFH9Cg'})",3
0.0012091898428053204,"frozenset({'CH:UC16niRr50-MSBwiO3YDb3RA', 'CH:UCPgLNge0xqQHWM5B5EFH9Cg', 'CH:UCxMXl9L79X1Mq_4iwCOyPFg'})",3
0.0012091898428053204,"frozenset({'CH:UC16niRr50-MSBwiO3YDb3RA', 'CH:UCSQ3jNVu8Zr_toI7NWzDwHw', 'CH:UCmYesELO6axBrCuSpf7S9DQ'})",3
0.0012091898428053204,"frozenset({'CH:UCoMdktPbSTixAyNGwb-UYkQ', 'CH:UC16niRr50-MSBwiO3YDb3RA', 'CH:UC_vFLohxs5PkAxlk7Y6jEtw'})",3
0.0012091898428053204,"frozenset({'CH:UChDKyKQ59fYz3JO2fl0Z6sg', 'CH:UCaXkIU1QidjPwiAYu6GcHjg', 'CH:UC16niRr50-MSBwiO3YDb3RA'})",3
0.0012091898428053204,"frozenset({'CH:UChDKyKQ59fYz3JO2fl0Z6sg', 'CH:UC16niRr50-MSBwiO3YDb3RA', 'CH:UCeY0bbntWzzVIaj2z3QigXg'})",3
0.0012091898428053204,"frozenset({'CH:UCeY0bbntWzzVIaj2z3QigXg', 'CH:UCoMdktPbSTixAyNGwb-UYkQ', 'CH:UC16niRr50-MSBwiO3YDb3RA'})",3
0.0012091898428053204,"frozenset({'CH:UCeY0bbntWzzVIaj2z3QigXg', 'DOM:www.youtube.com', 'CH:UC16niRr50-MSBwiO3YDb3RA'})",3
0.0012091898428053204,"frozenset({'CH:UCrvhNP_lWuPIP6QZzJmM-bw', 'CH:UCupvZG-5ko_eiXAupbDfxWw', 'CH:UC16niRr50-MSBwiO3YDb3RA'})",3
0.0012091898428053204,"frozenset({'DOM:www.youtube.com', 'CH:UCupvZG-5ko_eiXAupbDfxWw', 'CH:UC16niRr50-MSBwiO3YDb3RA'})",3
0.0012091898428053204,"frozenset({'CH:UC52X5wxOL_s5yw0dQk7NtgA', 'CH:UC2x_qNZXKDxNP1j4jvHATRQ', 'CH:UC5T7D-Dh1eDGtsAFCuwv_Sw'})",3
0.0012091898428053204,"frozenset({'CH:UCeY0bbntWzzVIaj2z3QigXg', 'CH:UC52X5wxOL_s5yw0dQk7NtgA', 'CH:UC2x_qNZXKDxNP1j4jvHATRQ'})",3
0.0012091898428053204,"frozenset({'CH:UC52X5wxOL_s5yw0dQk7NtgA', 'CH:UC2x_qNZXKDxNP1j4jvHATRQ', 'CH:UCuFFtHWoLl5fauMMD5Ww2jA'})",3
0.0012091898428053204,"frozenset({'CH:UCeY0bbntWzzVIaj2z3QigXg', 'CH:UC5T7D-Dh1eDGtsAFCuwv_Sw', 'CH:UC2x_qNZXKDxNP1j4jvHATRQ'})",3
0.0012091898428053204,"frozenset({'CH:UC5T7D-Dh1eDGtsAFCuwv_Sw', 'CH:UC2x_qNZXKDxNP1j4jvHATRQ', 'CH:UCuFFtHWoLl5fauMMD5Ww2jA'})",3
0.0012091898428053204,"frozenset({'CH:UCH1oRy1dINbMVp3UFWrKP0w', 'CH:UCBi2mrWuNuyYy4gbM6fU18Q', 'CH:UC2x_qNZXKDxNP1j4jvHATRQ'})",3
